path,published_risk,modified_risk,risk_change,trend
I->H->E->D,5.1,4.9,-0.1999999999999993,↓ İyileşen
I->H->E->F,5.2,5.0,-0.20000000000000018,↓ İyileşen
I->H->E->N,3.7,3.4,-0.30000000000000027,↓ İyileşen
I->H->G,4.6,4.5,-0.09999999999999964,→ Sabit
I->H->G->F,5.0,4.9,-0.09999999999999964,→ Sabit
I->H->G->L,3.5,3.3,-0.20000000000000018,↓ İyileşen
I->H->L,2.6,2.5,-0.10000000000000009,↓ İyileşen
I->H->L->G,3.5,3.3,-0.20000000000000018,↓ İyileşen
I->H->L->K,3.5,3.4,-0.10000000000000009,↓ İyileşen
I->H->L->M,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->H->L->N,1.9,1.9,0.0,→ Sabit
I->J,7.3,7.2,-0.09999999999999964,→ Sabit
I->J->K,6.9,6.8,-0.10000000000000053,↓ İyileşen
I->J->K->C,7.0,6.8,-0.20000000000000018,↓ İyileşen
I->J->K->L,5.2,5.1,-0.10000000000000053,↓ İyileşen
I->J->K->M,6.8,6.8,0.0,→ Sabit
I->M,7.0,7.1,0.09999999999999964,→ Sabit
I->M->C,7.0,7.0,0.0,→ Sabit
I->M->C->B,7.2,7.2,0.0,→ Sabit
I->M->C->D,6.7,6.7,0.0,→ Sabit
I->M->C->K,6.8,6.8,0.0,→ Sabit
I->M->C->N,5.3,5.3,0.0,→ Sabit
I->M->K,6.7,6.8,0.09999999999999964,→ Sabit
I->M->K->C,6.8,6.8,0.0,→ Sabit
I->M->K->J,6.8,6.8,0.0,→ Sabit
I->M->K->L,5.0,5.1,0.09999999999999964,→ Sabit
I->M->L,4.7,4.8,0.09999999999999964,→ Sabit
I->M->L->G,5.0,5.0,0.0,→ Sabit
I->M->L->H,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->L->K,5.0,5.1,0.09999999999999964,→ Sabit
I->M->L->N,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->N,4.7,4.8,0.09999999999999964,→ Sabit
I->M->N->C,5.3,5.3,0.0,→ Sabit
I->M->N->E,5.3,5.1,-0.20000000000000018,↓ İyileşen
I->M->N->L,3.5,3.6,0.10000000000000009,↑ Kötüleşen
I->M->N->O,3.5,5.4,1.9000000000000004,↑ Kötüleşen
J->I,7.3,7.2,-0.09999999999999964,→ Sabit
J->I->H,4.9,4.8,-0.10000000000000053,↓ İyileşen
J->I->H->E,5.5,5.2,-0.2999999999999998,↓ İyileşen
J->I->H->G,5.2,5.1,-0.10000000000000053,↓ İyileşen
J->I->H->L,3.7,3.6,-0.10000000000000009,↓ İyileşen
J->I->M,7.0,7.1,0.09999999999999964,→ Sabit
J->I->M->C,7.0,7.0,0.0,→ Sabit
